20.1.1.5. A népesség gazdasági aktivitása korcsoportok szerint, nemenként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korcsoport, éves;Foglalkoztatottak, ezer fõ, 2009;Munkanélküliek, ezer fõ, 2009;Gazdaságilag aktívak, ezer fõ, 2009;Gazdaságilag nem aktívak, ezer fõ, 2009;15–74 éves népesség, ezer fõ, 2009;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2009;Aktivitási arány, %, 2009;Munkanélküliségi ráta, %, 2009;Foglalkoztatási ráta, %, 2009;Foglalkoztatottak, ezer fõ, 2010;Munkanélküliek, ezer fõ, 2010;Gazdaságilag aktívak, ezer fõ, 2010;Gazdaságilag nem aktívak, ezer fõ, 2010;15–74 éves népesség, ezer fõ, 2010;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2010;Aktivitási arány, %, 2010;Munkanélküliségi ráta, %, 2010;Foglalkoztatási ráta, %, 2010;Foglalkoztatottak, ezer fõ, 2011;Munkanélküliek, ezer fõ, 2011;Gazdaságilag aktívak, ezer fõ, 2011;Gazdaságilag nem aktívak, ezer fõ, 2011;15–74 éves népesség, ezer fõ, 2011;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2011;Aktivitási arány, %, 2011;Munkanélküliségi ráta, %, 2011;Foglalkoztatási ráta, %, 2011;Foglalkoztatottak, ezer fõ, 2012;Munkanélküliek, ezer fõ, 2012;Gazdaságilag aktívak, ezer fõ, 2012;Gazdaságilag nem aktívak, ezer fõ, 2012;15–74 éves népesség, ezer fõ, 2012;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2012;Aktivitási arány, %, 2012;Munkanélküliségi ráta, %, 2012;Foglalkoztatási ráta, %, 2012;Foglalkoztatottak, ezer fõ, 2013;Munkanélküliek, ezer fõ, 2013;Gazdaságilag aktívak, ezer fõ, 2013;Gazdaságilag nem aktívak, ezer fõ, 2013;15–74 éves népesség, ezer fõ, 2013;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2013;Aktivitási arány, %, 2013;Munkanélküliségi ráta, %, 2013;Foglalkoztatási ráta, %, 2013;Foglalkoztatottak, ezer fõ, 2014;Munkanélküliek, ezer fõ, 2014;Gazdaságilag aktívak, ezer fõ, 2014;Gazdaságilag nem aktívak, ezer fõ, 2014;15–74 éves népesség, ezer fõ, 2014;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2014;Aktivitási arány, %, 2014;Munkanélküliségi ráta, %, 2014;Foglalkoztatási ráta, %, 2014;Foglalkoztatottak, ezer fõ, 2015;Munkanélküliek, ezer fõ, 2015;Gazdaságilag aktívak, ezer fõ, 2015;Gazdaságilag nem aktívak, ezer fõ, 2015;15–74 éves népesség, ezer fõ, 2015;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2015;Aktivitási arány, %, 2015;Munkanélküliségi ráta, %, 2015;Foglalkoztatási ráta, %, 2015;Foglalkoztatottak, ezer fõ, 2016;Munkanélküliek, ezer fõ, 2016;Gazdaságilag aktívak, ezer fõ, 2016;Gazdaságilag nem aktívak, ezer fõ, 2016;15–74 éves népesség, ezer fõ, 2016;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2016;Aktivitási arány, %, 2016;Munkanélküliségi ráta, %, 2016;Foglalkoztatási ráta, %, 2016;Foglalkoztatottak, ezer fõ, 2017;Munkanélküliek, ezer fõ, 2017;Gazdaságilag aktívak, ezer fõ, 2017;Gazdaságilag nem aktívak, ezer fõ, 2017;15–74 éves népesség, ezer fõ, 2017;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2017;Aktivitási arány, %, 2017;Munkanélküliségi ráta, %, 2017;Foglalkoztatási ráta, %, 2017;Foglalkoztatottak, ezer fõ, 2018;Munkanélküliek, ezer fõ, 2018;Gazdaságilag aktívak, ezer fõ, 2018;Gazdaságilag nem aktívak, ezer fõ, 2018;15–74 éves népesség, ezer fõ, 2018;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2018;Aktivitási arány, %, 2018;Munkanélküliségi ráta, %, 2018;Foglalkoztatási ráta, %, 2018;Foglalkoztatottak, ezer fõ, 2019;Munkanélküliek, ezer fõ, 2019;Gazdaságilag aktívak, ezer fõ, 2019;Gazdaságilag nem aktívak, ezer fõ, 2019;15–74 éves népesség, ezer fõ, 2019;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2019;Aktivitási arány, %, 2019;Munkanélküliségi ráta, %, 2019;Foglalkoztatási ráta, %, 2019;Foglalkoztatottak, ezer fõ, 2020;Munkanélküliek, ezer fõ, 2020;Gazdaságilag aktívak, ezer fõ, 2020;Gazdaságilag nem aktívak, ezer fõ, 2020;15–74 éves népesség, ezer fõ, 2020;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2020;Aktivitási arány, %, 2020;Munkanélküliségi ráta, %, 2020;Foglalkoztatási ráta, %, 2020;Foglalkoztatottak, ezer fõ, 2021;Munkanélküliek, ezer fõ, 2021;Gazdaságilag aktívak, ezer fõ, 2021;Gazdaságilag nem aktívak, ezer fõ, 2021;15–74 éves népesség, ezer fõ, 2021;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2021;Aktivitási arány, %, 2021;Munkanélküliségi ráta, %, 2021;Foglalkoztatási ráta, %, 2021;Foglalkoztatottak, ezer fõ, 2022;Munkanélküliek, ezer fõ, 2022;Gazdaságilag aktívak, ezer fõ, 2022;Gazdaságilag nem aktívak, ezer fõ, 2022;15–74 éves népesség, ezer fõ, 2022;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2022;Aktivitási arány, %, 2022;Munkanélküliségi ráta, %, 2022;Foglalkoztatási ráta, %, 2022;Foglalkoztatottak, ezer fõ, 2023;Munkanélküliek, ezer fõ, 2023;Gazdaságilag aktívak, ezer fõ, 2023;Gazdaságilag nem aktívak, ezer fõ, 2023;15–74 éves népesség, ezer fõ, 2023;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2023;Aktivitási arány, %, 2023;Munkanélküliségi ráta, %, 2023;Foglalkoztatási ráta, %, 2023
Összesen;2 026,0;231,8;2 257,8;1 418,9;3 676,7;359,0;61,4;10,3;55,1;1 993,9;261,7;2 255,7;1 418,2;3 673,9;392,9;61,4;11,6;54,3;2 022,7;251,5;2 274,1;1 397,7;3 671,9;399,5;61,9;11,1;55,1;2 049,4;262,1;2 311,5;1 364,8;3 676,3;411,8;62,9;11,3;55,7;2 104,6;239,3;2 343,9;1 323,8;3 667,7;395,5;63,9;10,2;57,4;2 220,9;181,7;2 402,6;1 251,2;3 653,8;317,0;65,8;7,6;60,8;2 284,1;161,9;2 446,0;1 195,3;3 641,3;272,7;67,2;6,6;62,7;2 362,7;127,5;2 490,2;1 141,8;3 632,0;215,1;68,6;5,1;65,1;2 417,4;95,7;2 513,2;1 099,4;3 612,5;172,1;69,6;3,8;66,9;2 453,1;87,6;2 540,7;1 064,0;3 604,7;153,3;70,5;3,4;68,1;2 483,2;85,6;2 568,8;1 032,5;3 601,3;149,7;71,3;3,3;69,0;2 454,8;104,8;2 559,5;1 031,7;3 591,2;185,6;71,3;4,1;68,4;2 471,3;99,5;2 570,7;1 003,7;3 574,5;172,6;71,9;3,9;69,1;2 491,8;95,4;2 587,2;974,1;3 561,3;147,8;72,6;3,7;70,0;2 508,5;106,0;2 614,5;945,1;3 559,6;149,9;73,4;4,1;70,5
15–24;123,0;47,5;170,4;443,8;614,3;68,6;27,7;27,8;20,0;121,1;46,5;167,5;440,7;608,3;65,7;27,5;27,7;19,9;118,8;43,9;162,6;439,8;602,4;65,4;27,0;27,0;19,7;118,4;48,5;166,9;430,8;597,7;69,7;27,9;29,1;19,8;135,4;46,6;182,0;405,5;587,5;72,2;31,0;25,6;23,0;151,7;37,9;189,6;384,8;574,4;59,0;33,0;20,0;26,4;157,9;35,3;193,3;368,8;562,1;53,7;34,4;18,3;28,1;172,5;25,6;198,2;350,2;548,4;42,2;36,1;12,9;31,5;176,2;18,9;195,1;339,8;534,9;33,5;36,5;9,7;32,9;170,5;18,6;189,0;322,7;511,7;28,9;36,9;9,8;33,3;163,4;22,1;185,4;316,7;502,2;34,9;36,9;11,9;32,5;151,2;20,7;172,0;319,7;491,7;36,1;35,0;12,1;30,8;146,2;20,3;166,5;318,3;484,8;32,8;34,3;12,2;30,2;144,3;18,5;162,8;324,1;486,9;29,0;33,4;11,4;29,6;153,8;23,4;177,2;318,3;495,6;32,2;35,8;13,2;31,0
15–64;2 007,4;231,8;2 239,2;1 065,0;3 304,2;356,7;67,8;10,4;60,8;1 976,4;261,6;2 238,0;1 061,0;3 298,9;391,2;67,8;11,7;59,9;2 002,5;251,4;2 253,9;1 040,5;3 294,4;398,0;68,4;11,2;60,8;2 029,3;261,8;2 291,1;1 001,1;3 292,2;409,6;69,6;11,4;61,6;2 085,4;239,0;2 324,4;947,7;3 272,1;391,7;71,0;10,3;63,7;2 203,1;181,4;2 384,5;862,2;3 246,7;314,6;73,4;7,6;67,9;2 264,9;161,3;2 426,2;796,7;3 222,9;269,4;75,3;6,6;70,3;2 337,5;127,3;2 464,8;738,2;3 203,1;212,8;77,0;5,2;73,0;2 389,8;95,7;2 485,5;691,4;3 176,9;169,5;78,2;3,8;75,2;2 418,8;87,5;2 506,3;657,1;3 163,4;150,4;79,2;3,5;76,5;2 439,1;84,8;2 524,0;622,7;3 146,6;146,7;80,2;3,4;77,5;2 409,5;104,0;2 513,4;608,0;3 121,4;182,5;80,5;4,1;77,2;2 417,1;98,1;2 515,2;579,3;3 094,4;169,3;81,3;3,9;78,1;2 430,2;94,2;2 524,4;553,2;3 077,6;144,6;82,0;3,7;79,0;2 437,3;104,9;2 542,2;536,0;3 078,2;146,7;82,6;4,1;79,2
20–64;2 000,2;224,8;2 224,9;780,6;3 005,5;345,1;74,0;10,1;66,5;1 970,0;255,3;2 225,3;778,0;3 003,3;381,2;74,1;11,5;65,6;1 995,5;246,2;2 241,7;760,2;3 001,9;388,0;74,7;11,0;66,5;2 023,1;254,7;2 277,9;729,4;3 007,2;398,6;75,7;11,2;67,3;2 077,5;230,8;2 308,3;689,1;2 997,4;377,7;77,0;10,0;69,3;2 193,0;174,4;2 367,4;615,2;2 982,6;301,8;79,4;7,4;73,5;2 249,8;155,4;2 405,2;562,0;2 967,2;259,3;81,1;6,5;75,8;2 322,1;121,7;2 443,8;509,2;2 953,0;202,6;82,8;5,0;78,6;2 374,1;91,0;2 465,1;465,3;2 930,4;160,5;84,1;3,7;81,0;2 402,5;82,6;2 485,1;439,2;2 924,3;142,4;85,0;3,3;82,2;2 419,9;79,6;2 499,4;408,4;2 907,8;136,4;86,0;3,2;83,2;2 394,9;99,2;2 494,1;386,0;2 880,1;173,1;86,6;4,0;83,2;2 402,3;91,9;2 494,2;358,6;2 852,8;159,2;87,4;3,7;84,2;2 414,1;89,8;2 503,9;330,7;2 834,6;136,7;88,3;3,6;85,2;2 419,3;98,9;2 518,1;320,1;2 838,2;137,8;88,7;3,9;85,2
Nõk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15–19;4,3;4,4;8,6;279,2;287,9;7,4;3,0;50,5;1,5;5,5;3,5;9,0;274,9;283,9;6,1;3,2;39,2;1,9;4,2;3,2;7,4;272,5;279,9;5,8;2,6;42,9;1,5;4,0;3,7;7,7;264,3;272,0;7,6;2,8;48,0;1,5;4,8;5,3;10,1;251,8;261,9;8,5;3,8;52,4;1,8;7,8;4,0;11,8;239,6;251,4;8,0;4,7;34,0;3,1;7,0;4,8;11,8;231,2;243,0;7,8;4,9;40,6;2,9;9,4;3,2;12,6;224,8;237,4;6,1;5,3;25,4;4,0;10,3;3,5;13,8;220,6;234,4;6,4;5,9;25,2;4,4;10,6;2,9;13,4;212,4;225,9;6,1;6,0;21,5;4,7;9,4;3,5;12,9;213,1;226,0;5,8;5,7;27,2;4,2;8,4;2,8;11,3;215,2;226,5;5,4;5,0;25,2;3,7;8,2;3,3;11,4;216,5;227,9;6,4;5,0;28,7;3,6;9,2;3,3;12,5;217,6;230,1;5,7;5,4;26,6;4,0;8,4;4,7;13,1;218,8;231,9;8,1;5,7;35,7;3,6
20–24;99,0;27,0;126,0;181,0;307,0;38,2;41,0;21,4;32,2;97,7;28,2;125,9;176,4;302,3;39,4;41,6;22,4;32,3;95,4;27,4;122,9;175,0;297,9;41,3;41,2;22,3;32,0;97,5;32,5;130,0;168,4;298,3;47,4;43,6;25,0;32,7;96,1;31,6;127,7;171,0;298,7;47,9;42,8;24,8;32,2;109,6;25,7;135,3;161,9;297,2;37,6;45,5;19,0;36,9;121,5;18,7;140,3;152,9;293,2;28,2;47,8;13,4;41,5;125,1;15,8;140,9;144,1;285,1;25,9;49,4;11,2;43,9;123,2;13,9;137,0;138,3;275,3;24,0;49,8;10,1;44,7;115,5;11,1;126,6;131,0;257,5;18,5;49,2;8,7;44,9;106,6;10,2;116,7;130,2;246,9;19,7;47,3;8,7;43,2;102,9;14,5;117,4;119,3;236,6;24,4;49,6;12,3;43,5;97,7;16,3;114,0;115,1;229,1;25,8;49,8;14,3;42,6;103,6;8,6;112,2;120,0;232,2;14,3;48,3;7,7;44,6;104,0;11,0;115,0;124,4;239,4;14,8;48,0;9,6;43,4
25–29;238,9;25,5;264,4;73,2;337,6;39,4;78,3;9,7;70,8;220,5;28,4;248,9;71,8;320,8;42,1;77,6;11,4;68,8;208,3;25,4;233,7;70,6;304,3;41,3;76,8;10,9;68,4;207,8;26,0;233,9;64,1;298,0;43,2;78,5;11,1;69,7;207,6;22,8;230,4;65,0;295,4;37,3;78,0;9,9;70,3;212,5;21,7;234,2;60,4;294,6;35,8;79,5;9,3;72,1;215,5;18,9;234,4;59,8;294,1;28,6;79,7;8,1;73,3;225,0;13,9;239,0;56,1;295,1;22,2;81,0;5,8;76,3;227,8;12,9;240,7;54,9;295,6;22,0;81,4;5,4;77,1;227,0;10,6;237,6;56,9;294,5;16,8;80,7;4,5;77,1;233,4;10,3;243,7;50,9;294,5;15,5;82,7;4,2;79,2;227,0;13,4;240,4;51,5;291,9;21,8;82,4;5,6;77,8;221,5;10,7;232,3;54,0;286,2;20,7;81,1;4,6;77,4;213,9;9,7;223,6;51,4;275,0;15,7;81,3;4,3;77,8;210,7;11,6;222,3;45,6;267,8;16,9;83,0;5,2;78,7
30–34;285,0;24,8;309,8;72,8;382,6;41,3;81,0;8,0;74,5;282,8;26,8;309,6;70,7;380,3;42,7;81,4;8,7;74,4;284,8;25,7;310,5;67,1;377,6;41,5;82,2;8,3;75,4;276,2;24,2;300,4;62,9;363,3;42,8;82,7;8,1;76,0;267,0;23,0;290,0;53,6;343,6;40,0;84,4;7,9;77,7;256,4;19,3;275,7;49,1;324,9;32,4;84,9;7,0;78,9;249,0;16,9;265,8;44,7;310,5;25,9;85,6;6,3;80,2;248,0;10,5;258,5;42,9;301,4;18,2;85,8;4,1;82,3;244,1;8,5;252,6;42,1;294,7;15,7;85,7;3,4;82,8;241,6;8,3;249,9;41,8;291,7;14,0;85,7;3,3;82,8;244,2;6,1;250,3;42,7;293,0;10,9;85,4;2,4;83,3;232,9;9,2;242,1;53,2;295,3;21,2;82,0;3,8;78,9;237,2;12,5;249,6;46,5;296,1;20,7;84,3;5,0;80,1;246,9;8,9;255,8;40,9;296,6;13,3;86,2;3,5;83,2;240,7;10,9;251,6;42,3;293,9;16,7;85,6;4,3;81,9
35–39;289,5;24,6;314,2;63,8;378,0;42,8;83,1;7,8;76,6;292,4;29,6;322,0;66,2;388,2;50,4;82,9;9,2;75,3;295,0;29,7;324,7;73,6;398,3;51,4;81,5;9,2;74,1;309,7;30,0;339,7;69,1;408,8;54,1;83,1;8,8;75,8;327,3;27,5;354,8;62,7;417,6;50,2;85,0;7,8;78,4;333,2;22,9;356,2;59,5;415,7;43,6;85,7;6,4;80,2;323,7;21,8;345,4;55,7;401,1;37,3;86,1;6,3;80,7;318,1;13,7;331,8;50,6;382,4;24,9;86,8;4,1;83,2;301,0;12,7;313,7;48,6;362,3;21,3;86,6;4,1;83,1;287,8;10,0;297,8;43,5;341,2;20,3;87,3;3,4;84,3;273,5;8,5;282,1;42,3;324,4;16,6;87,0;3,0;84,3;257,3;10,8;268,1;42,5;310,6;19,9;86,3;4,0;82,8;250,6;11,0;261,6;41,3;302,9;20,1;86,4;4,2;82,7;251,3;10,6;261,9;37,5;299,4;17,4;87,5;4,0;83,9;249,6;11,9;261,5;36,7;298,2;17,8;87,7;4,6;83,7
40–44;264,9;23,7;288,6;58,5;347,1;40,4;83,1;8,2;76,3;269,2;26,4;295,6;54,6;350,2;44,5;84,4;8,9;76,9;271,0;28,1;299,1;54,1;353,2;45,7;84,7;9,4;76,7;280,6;24,3;304,8;50,6;355,4;45,7;85,8;8,0;79,0;280,1;27,0;307,1;49,4;356,5;48,2;86,1;8,8;78,6;293,7;21,0;314,6;48,0;362,6;38,9;86,8;6,7;81,0;314,0;19,1;333,1;45,3;378,4;34,3;88,0;5,7;83,0;335,9;13,2;349,1;46,1;395,2;28,8;88,3;3,8;85,0;349,6;12,5;362,1;45,3;407,4;24,8;88,9;3,5;85,8;358,9;13,1;372,1;42,5;414,6;24,0;89,7;3,5;86,6;356,1;12,2;368,3;44,8;413,1;22,6;89,1;3,3;86,2;335,0;12,6;347,6;51,3;398,8;27,6;87,1;3,6;84,0;327,6;10,3;337,8;42,9;380,7;19,9;88,7;3,0;86,0;314,7;8,6;323,3;38,2;361,4;15,7;89,4;2,6;87,1;295,0;11,1;306,0;35,8;341,9;17,4;89,5;3,6;86,3
45–49;250,0;22,6;272,6;66,7;339,3;40,9;80,3;8,3;73,7;241,9;25,6;267,5;55,7;323,2;42,5;82,8;9,6;74,9;229,3;27,4;256,6;50,7;307,3;45,8;83,5;10,7;74,6;236,0;24,2;260,2;46,8;307,0;43,8;84,7;9,3;76,9;248,0;24,6;272,6;45,5;318,1;46,1;85,7;9,0;77,9;269,7;17,0;286,8;42,7;329,4;34,7;87,0;5,9;81,9;282,1;14,9;296,9;43,1;340,0;28,9;87,3;5,0;82,9;294,3;11,1;305,4;43,4;348,8;23,2;87,5;3,6;84,4;307,0;8,5;315,5;37,4;352,9;19,8;89,4;2,7;87,0;307,5;8,2;315,7;37,1;352,8;15,7;89,5;2,6;87,2;316,3;7,6;323,9;35,7;359,6;15,6;90,1;2,4;87,9;322,8;10,7;333,4;42,9;376,3;21,4;88,6;3,2;85,8;340,1;10,6;350,7;41,8;392,4;20,8;89,4;3,0;86,7;358,5;8,6;367,1;38,8;405,9;16,6;90,4;2,3;88,3;366,3;11,1;377,4;36,4;413,7;18,4;91,2;2,9;88,5
50–54;233,0;19,9;252,8;88,2;341,1;34,7;74,1;7,9;68,3;236,3;21,7;258,0;82,7;340,7;39,1;75,7;8,4;69,4;233,6;24,8;258,4;81,3;339,7;43,2;76,1;9,6;68,8;238,4;23,8;262,2;65,5;327,7;43,1;80,0;9,1;72,7;233,6;18,7;252,3;63,1;315,3;38,4;80,0;7,4;74,1;238,8;12,3;251,1;55,4;306,5;29,3;81,9;4,9;77,9;241,3;14,0;255,3;45,0;300,3;26,1;85,0;5,5;80,3;242,9;10,6;253,5;44,2;297,7;20,1;85,2;4,2;81,6;245,0;9,8;254,8;47,3;302,1;18,8;84,3;3,8;81,1;260,0;8,1;268,1;42,4;310,5;15,8;86,3;3,0;83,7;266,7;6,9;273,6;48,8;322,3;15,0;84,9;2,5;82,7;281,0;8,0;289,0;44,2;333,2;20,5;86,7;2,8;84,3;291,0;9,2;300,2;41,8;342,0;17,4;87,8;3,1;85,1;301,2;9,2;310,4;37,7;348,1;14,0;89,2;3,0;86,5;305,8;9,8;315,6;32,9;348,5;14,7;90,6;3,1;87,7
55–59;159,3;11,6;170,8;219,9;390,7;22,9;43,7;6,8;40,8;187,0;15,6;202,6;198,3;400,9;29,9;50,5;7,7;46,6;205,1;19,8;224,9;186,0;410,9;38,0;54,7;8,8;49,9;204,2;19,1;223,4;187,5;410,9;39,2;54,4;8,6;49,7;206,0;17,2;223,2;177,7;401,0;38,7;55,7;7,7;51,4;216,3;14,2;230,5;150,2;380,8;30,1;60,5;6,2;56,8;213,9;11,4;225,3;131,3;356,6;26,5;63,2;5,1;60,0;216,9;9,0;225,9;109,5;335,4;18,2;67,4;4,0;64,7;210,6;7,4;218,0;100,5;318,5;15,1;68,4;3,4;66,1;206,5;5,2;211,8;91,1;302,9;12,1;69,9;2,5;68,2;201,8;4,3;206,2;88,5;294,6;11,6;70,0;2,1;68,5;203,1;5,6;208,7;80,3;289,0;13,0;72,2;2,7;70,3;213,4;5,3;218,7;67,8;286,5;11,5;76,3;2,4;74,5;224,0;5,5;229,5;62,6;292,1;9,9;78,6;2,4;76,7;242,0;5,8;247,9;57,0;304,8;10,3;81,3;2,4;79,4
60–64;32,7;...;34,0;304,2;338,2;5,8;10,0;3,8;9,7;33,1;...;34,5;312,1;346,7;7,3;10,0;…;9,5;39,1;…;41,3;313,7;355,1;7,8;11,6;…;11,0;40,5;…;42,7;317,9;360,6;8,6;11,8;…;11,2;40,6;2,7;43,3;323,3;366,6;10,4;11,8;6,1;11,1;50,5;2,7;53,2;324,9;378,1;10,1;14,1;5,1;13,4;67,6;5,1;72,7;317,5;390,3;13,9;18,6;7,0;17,3;86,9;5,3;92,1;304,1;396,3;13,8;23,3;5,7;21,9;92,0;6,0;98,1;296,9;395,0;14,3;24,8;6,1;23,3;101,4;4,0;105,4;277,2;382,6;11,3;27,6;3,8;26,5;101,5;…;103,9;259,3;363,2;9,3;28,6;…;27,9;105,1;3,1;108,3;231,9;340,2;9,5;31,8;2,9;30,9;107,0;3,1;110,1;209,8;320,0;10,6;34,4;2,8;33,5;107,3;4,4;111,6;192,2;303,9;9,1;36,7;3,9;35,3;117,5;5,2;122,7;169,3;292,0;8,7;42,0;4,3;40,2
65–69;9,5;...;9,8;284,9;294,7;…;3,3;...;3,2;10,7;...;10,8;285,3;296,1;…;3,6;...;3,6;11,0;...;11,2;286,1;297,3;…;3,8;...;3,7;11,4;...;12,1;286,4;298,5;2,9;4,1;...;3,8;11,6;...;12,2;291,6;303,7;2,6;4,0;...;3,8;10,3;...;10,6;299,1;309,6;3,1;3,4;...;3,3;12,1;...;12,3;305,7;318,0;…;3,9;...;3,8;13,5;...;13,9;317,7;331,6;…;4,2;...;4,1;14,3;...;14,4;325,2;339,6;…;4,2;...;4,2;15,2;…;15,4;327,5;342,8;2,5;4,5;…;4,4;23,3;…;23,5;330,0;353,5;…;6,6;…;6,6;29,4;…;30,0;334,6;364,6;4,0;8,2;…;8,1;35,0;…;36,4;333,0;369,3;4,6;9,8;…;9,5;35,1;…;35,8;331,7;367,5;…;9,7;…;9,6;36,1;…;37,2;319,1;356,3;2,8;10,4;…;10,1
70–74;…;...;…;252,8;255,3;…;…;...;1,0;2,8;...;2,8;252,9;255,6;…;1,1;...;1,1;3,6;...;3,6;252,4;256,0;…;1,4;...;1,4;2,9;...;2,9;256,1;259,1;…;1,1;...;1,1;…;...;…;261,7;263,6;…;…;...;…;2,9;...;2,9;265,8;268,7;…;1,1;...;1,1;3,4;...;3,5;267,7;271,1;…;1,3;...;1,3;3,6;...;3,8;265,4;269,1;…;1,4;...;1,4;6,1;...;6,1;263,8;270,0;…;2,3;...;2,2;8,4;…;8,5;264,4;272,9;…;3,1;…;3,1;8,4;…;8,5;269,7;278,2;…;3,1;…;3,0;9,2;…;9,4;276,2;285,6;…;3,3;…;3,2;9,3;…;9,7;286,8;296,4;…;3,3;…;3,1;12,2;…;12,8;289,3;302,1;…;4,2;…;4,0;12,9;…;14,0;292,1;306,1;…;4,6;…;4,2
Összesen;1 868,5;185,6;2 054,1;1 945,5;3 999,5;315,4;51,4;9,0;46,7;1 879,9;207,4;2 087,2;1 901,6;3 988,8;345,3;52,3;9,9;47,1;1 880,3;214,0;2 094,3;1 883,2;3 977,4;363,9;52,7;10,2;47,3;1 909,3;210,7;2 120,0;1 839,5;3 959,5;378,5;53,5;9,9;48,2;1 924,7;201,0;2 125,6;1 816,4;3 942,0;369,8;53,9;9,5;48,8;2 001,7;161,1;2 162,8;1 756,6;3 919,4;304,2;55,2;7,5;51,1;2 051,0;145,7;2 196,8;1 699,9;3 896,7;261,1;56,4;6,6;52,6;2 119,5;107,0;2 226,5;1 649,1;3 875,6;203,8;57,4;4,8;54,7;2 130,9;95,8;2 226,8;1 621,0;3 847,8;185,2;57,9;4,3;55,4;2 140,3;81,8;2 222,1;1 567,8;3 790,0;158,4;58,6;3,7;56,5;2 141,1;72,3;2 213,5;1 556,1;3 769,5;146,0;58,7;3,3;56,8;2 114,0;91,4;2 205,5;1 543,1;3 748,6;189,9;58,8;4,1;56,4;2 138,4;94,0;2 232,4;1 497,2;3 729,6;179,9;59,9;4,2;57,3;2 177,9;78,6;2 256,5;1 457,8;3 714,3;134,7;60,8;3,5;58,6;2 189,0;95,2;2 284,2;1 410,4;3 694,6;148,1;61,8;4,2;59,3
15–24;103,3;31,3;134,6;460,3;594,9;45,6;22,6;23,3;17,4;103,1;31,8;134,9;451,3;586,3;45,5;23,0;23,6;17,6;99,7;30,6;130,3;447,5;577,7;47,1;22,5;23,5;17,2;101,5;36,1;137,7;432,7;570,4;55,0;24,1;26,3;17,8;100,9;36,9;137,8;422,8;560,6;56,5;24,6;26,8;18,0;117,3;29,7;147,1;401,5;548,6;45,7;26,8;20,2;21,4;128,6;23,5;152,1;384,1;536,2;36,1;28,4;15,5;24,0;134,5;19,0;153,6;368,9;522,5;32,0;29,4;12,4;25,7;133,5;17,3;150,8;358,9;509,7;30,4;29,6;11,5;26,2;126,1;13,9;140,0;343,4;483,4;24,7;29,0;10,0;26,1;116,0;13,7;129,7;343,3;472,9;25,5;27,4;10,6;24,5;111,3;17,3;128,6;334,5;463,1;29,8;27,8;13,5;24,0;105,9;19,6;125,4;331,6;457,0;32,2;27,4;15,6;23,2;112,8;11,9;124,8;337,5;462,3;20,0;27,0;9,6;24,4;112,4;15,7;128,1;343,2;471,3;22,9;27,2;12,3;23,8
