FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
3145,Mûsorszóró és audiovizuális technikus,357969,400965,458786,559114,655052
3146,Telekommunikációs technikus,462815,491555,533269,575273,646182
3151,Energetikai (erõmûvi) berendezés vezérlõje,578975,666685,685292,799196,938169
3152,"Égetõ-, víz- és csatornamûvi berendezés vezérlõje",337071,382551,427437,492385,575088
3153,Vegyipari alapanyag-feldolgozó berendezés vezérlõje,451328,484056,532984,590574,673111
3154,Kõolaj- és földgázfinomító berendezés vezérlõje,0,0,0,0,1083890
3155,Fémgyártási berendezés vezérlõje,399590,426048,485223,555516,641973
3159,Egyéb folyamatirányító berendezés vezérlõje ,387667,429913,460250,524736,594999
3161,Munka- és termelésszervezõ ,448793,488382,523245,608778,707448
3162,Energetikus,486397,524330,570871,668276,793473
3163,Munkavédelmi és üzembiztonsági foglalkozású,430104,484355,531632,600376,696714
3171,"Tengeri és belvízi hajóparancsnok, fedélzeti tiszt",312645,325165,448572,580980,732560
3172,"Légijármû-vezetõ, hajózómérnök",950188,930845,919831,1185847,2514408
3173,Légiforgalmi irányító,1954309,1969983,1969857,2297405,2671807
3190,Egyéb mûszaki foglalkozású,416928,452462,491180,571570,667171
3211,"Bányászati szakmai irányító, felügyelõ",614212,678942,682519,786920,914478
3212,"Feldolgozóipari szakmai irányító, felügyelõ",500569,525114,572246,649087,746168
3213,"Építõipari szakmai irányító, felügyelõ",429164,479160,544169,625975,728578
3221,"Irodai szakmai irányító, felügyelõ",401437,457332,496753,571038,663181
3222,"Konyhafõnök, séf",331873,354923,383782,468968,552555
3311,"Ápoló, szakápoló",345895,439147,486274,575411,628564
3312,Szülész(nõ)i tevékenység segítõje,334908,436892,493577,592092,647306
3321,Általános egészségügyi asszisztens,328301,417530,471803,549261,602643
3322,Egészségügyi dokumentátor ,249925,327415,353395,417187,455019
3323,Orvosi képalkotó diagnosztikai és terápiás berendezések kezelõje,408020,513771,559772,658704,724714
3324,Orvosi laboratóriumi asszisztens,377136,469804,517708,590456,651710
3325,Fogászati asszisztens,226283,267654,312563,381312,430670
3326,Gyógyszertári és gyógyszerellátási asszisztens,302053,338681,361535,413828,482202
